case,case,date cleared,call description,location,police zone,police grid,city council,x-coordinate,y-coordinate,x_gps_coords,y_gps_coords
SL2016463,SL2016463,01/01/2016 12:00:00 AM,VEHICLE THEFT,5XX S 900 E                                                                                             ,Z5,151,4.0,1899098.0,883261.0,-111.86496146662066,40.757620896145816
SL2016117,SL2016117,01/01/2016 12:00:00 AM,DOMESTIC/PHYSICAL INVESTIGATION,3XX W 300 S                                                                                             ,Z3,132,4.0,1889023.0,885223.0,-111.90135834600376,40.76288754694132
SL2016427,SL2016427,01/01/2016 12:00:00 AM,TRESPASSING/UNWANTED - IND/SMALL GROUP,9XX N CHURCHILL DR                                                                                      ,Z3,131,3.0,1891429.0,895330.0,-111.89283367183442,40.790656783850956
SL2016253,SL2016253,01/01/2016 12:00:00 AM,SUICIDE - THREAT,8XX W 300 N                                                                                             ,Z1,112,2.0,1885076.0,889825.0,-111.91568312403221,40.77546891450854
SL20162,SL20162,01/01/2016 12:00:00 AM,HOLD LOG,1XX S 200 W                                                                                             ,Z3,132,4.0,1890028.0,886559.0,-111.89775203515366,40.76656669982441
SL2016451,SL2016451,01/01/2016 12:00:00 AM,DUI DRIVER,2XX E 700 S                                                                                             ,Z3,135,4.0,1893682.0,881986.0,-111.8844904059753,40.754059238407514
SL20164,SL20164,01/01/2016 12:00:00 AM,HOLD LOG,6XX E 500 S                                                                                             ,Z4,144,4.0,1897180.0,883741.0,-111.8718915856916,40.75891666684364
SL20167,SL20167,01/01/2016 12:00:00 AM,HOLD LOG,1XX S MAIN ST                                                                                           ,Z3,133,4.0,1891897.0,886421.0,-111.89100292664365,40.766210538859816
SL20168,SL20168,01/01/2016 12:00:00 AM,PHYSICAL (FIGHT)  INDIVIDUAL/SMALL GROUP,16XX W 700 N                                                                                             ,Z1,112,1.0,1878776.0,893043.0,-111.93848548107479,40.784218588076925
SL20169,SL20169,01/01/2016 12:00:00 AM,TRAFFIC STOP,1XX E 100 S                                                                                             ,Z3,133,4.0,1892875.0,886743.0,-111.88747748637616,40.767105984796935
SL201610,SL201610,01/01/2016 12:00:00 AM,TRAFFIC STOP,,113,,,,,,
SL20166,SL20166,01/01/2016 12:00:00 AM,CELL 911 HANGUP,8XX W 100 S                                                                                             ,Z2,121,2.0,1885393.0,886772.0,-111.91448753269357,40.76709359244312
SL201615,SL201615,01/01/2016 12:00:00 AM,HOLD LOG,1XX S MAIN ST                                                                                           ,Z3,133,4.0,1891897.0,886421.0,-111.89100292664365,40.766210538859816
SL201617,SL201617,01/01/2016 12:00:00 AM,HOLD LOG,1XX S 200 W                                                                                             ,Z3,132,4.0,1890028.0,886559.0,-111.89775203515366,40.76656669982441
SL201618,SL201618,01/01/2016 12:00:00 AM,HOLD LOG,0XX W 300 S                                                                                             ,Z3,133,4.0,1891718.0,885293.0,-111.89163126027671,40.763112433818634
SL201623,SL201623,01/01/2016 12:00:00 AM,HOLD LOG,,SOSL,SOSL,,1887422.0,869203.0,-111.9068745235229,40.71889818951389
SL201611,SL201611,01/01/2016 12:00:00 AM,TRAFFIC STOP,3XX W PAXTON AVE                                                                                        ,Z5,152,5.0,1889383.0,878176.0,-111.89994509279057,40.74355040073993
SL201621,SL201621,01/01/2016 12:00:00 AM,911 HANGUP CALL,1XX E WESTMINSTER AVE                                                                                   ,Z6,161,5.0,1893124.0,872787.0,-111.88636102134953,40.72880447201603
SL201622,SL201622,01/01/2016 12:00:00 AM,HOLD LOG,2XX N 2200 W                                                                                            ,Z1,113,1.0,1874833.0,889644.0,-111.95266088662085,40.774835770400095
